,publish_time,title,channel_name,tags_count,views_count,likes_count,dislikes_count,comments_count,duration_sec,published_date,published_time_UTC,subscribers
125,2014-12-09T17:39:19Z,Mashup for Soda 4 (best songs) Vol 1,Alex Aero,0,147334,1045,29,125.0,2932,2014-12-09,17:39:19,69700.0
126,2015-04-12T19:46:12Z,Spring Break Mashup for Soda,Alex Aero,5,144848,1435,35,82.0,2734,2015-04-12,19:46:12,69700.0
127,2015-04-24T19:32:44Z,Ed Sheeran x M83 x Kygo x Ellie Goulding x Passenger (Mashup),Alex Aero,8,130740,1288,34,37.0,307,2015-04-24,19:32:44,69700.0
128,2016-10-15T13:37:38Z,Music Mashup For Soda 8,Alex Aero,0,111216,1385,32,167.0,2725,2016-10-15,13:37:38,69700.0
129,2015-01-03T16:08:54Z,Music Mashup for Soda 5,Alex Aero,0,103192,765,15,95.0,3106,2015-01-03,16:08:54,69700.0
130,2015-12-13T15:47:32Z,2015 Pop Mashup,Alex Aero,0,101799,838,16,63.0,220,2015-12-13,15:47:32,69700.0
131,2014-12-30T16:54:17Z,Avicii - The Nights (Alex Aero Remix),Alex Aero,0,89098,527,87,44.0,184,2014-12-30,16:54:17,69700.0
132,2015-03-09T19:31:11Z,Music Mashup for Soda 6,Alex Aero,0,88513,703,8,63.0,3216,2015-03-09,19:31:11,69700.0
133,2019-01-27T17:00:50Z,SYML - Where's My Love (Fëz Remix),Alex Aero,6,87590,2121,29,72.0,212,2019-01-27,17:00:50,69700.0
134,2016-08-20T14:49:37Z,Music Mashup for Soda 7,Alex Aero,0,86966,890,28,105.0,5004,2016-08-20,14:49:37,69700.0
